Skill
Java
Python
Spring Boot
Spring Security
Hibernate
JPA
JDBC
REST API
REST APIs
Microservices
SQL
MySQL
PostgreSQL
Oracle
MongoDB
HTML
CSS
JavaScript
React
Angular
Git
GitHub
Maven
Gradle
Docker
Kubernetes
AWS
Azure
Postman
JUnit
Mockito
OOP
DSA
Collections
Agile
SDLC
Machine Learning
Deep Learning
NLP
Pandas
NumPy
Scikit-learn
Streamlit
TensorFlow
PyTorch
